Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-25,16,537.21,847.75,519.5823419288816,521.5453954845791
2017-12-25,17,576.05,807.515625,516.7052274659121,518.9847478957279
2017-12-25,18,713.73,868.5390625,652.3136095282699,653.7951182494703
2017-12-25,19,719.27,892.5234375,748.6014053828071,748.8417442213466
2017-12-25,20,676.47,847.953125,686.6323765380473,686.9243955379405
2017-12-25,21,605.9000000000001,774.1796875,614.5271319648934,614.3829245146725
2017-12-25,22,530.94,692.4375,535.8110542568339,535.573853233621
2017-12-25,23,483.90000000000003,635.9140625,485.68215415272306,485.6921198114561
2017-12-26,0,458.40999999999997,622.2890625,459.5426947555399,459.93458078434685
2017-12-26,1,442.43,604.4375,450.13111097879874,450.35109185649344
2017-12-26,2,434.19,594.515625,441.9329757634336,441.67687235230136
2017-12-26,3,429.18000000000006,591.140625,440.3024382483786,439.6473146062457
2017-12-26,4,444.28999999999996,604.8515625,452.2511708025878,451.5198989627512
2017-12-26,5,481.50000000000006,637.34375,486.2341884235021,485.93484152169333
2017-12-26,6,511.24,670.765625,524.1163312092871,524.3680932403979
2017-12-26,7,564.0,740.1796875,590.0659502411402,590.1353950080769
2017-12-26,8,647.85,825.5703125,659.7184164642048,659.9886249961232
2017-12-26,9,693.74,872.40625,705.1060516438316,705.5829197992234
2017-12-26,10,732.1800000000001,903.2734375,735.0798334396271,735.8674160623349
2017-12-26,11,754.42,920.859375,759.8037703557173,761.1154324252121
2017-12-26,12,747.23,901.1640625,744.5047844395508,745.3966247827734
2017-12-26,13,771.99,915.765625,770.9004382231986,771.5944615260538
2017-12-26,14,793.22,927.421875,792.1357717231734,792.5331972564679
2017-12-26,15,786.0,914.8125,788.5524858498209,789.1108021465599
2017-12-26,16,768.08,868.8671875,747.6963005012591,748.488184395626
2017-12-26,17,760.73,828.6328125,733.8877561246137,734.2085573371722
2017-12-26,18,848.42,889.65625,825.9307587467044,825.7887462305182
2017-12-26,19,842.44,913.640625,875.0690997794412,874.4845204613737
2017-12-26,20,797.01,869.0703125,802.2346634622443,801.7853642346948
2017-12-26,21,712.77,795.296875,727.6488614539765,727.2182502594161
2017-12-26,22,624.4999999999999,713.5546875,636.0395441497176,635.6151417286651
2017-12-26,23,563.35,657.03125,573.3569484329208,572.840473807142
2017-12-27,0,532.52,623.03125,534.2353564336714,533.8662947686548
2017-12-27,1,507.21,605.1796875,519.7872035681444,519.2849888025136
2017-12-27,2,495.97999999999996,595.2578125,502.7892201133833,501.87862829322285
2017-12-27,3,491.78,591.8828125,498.3385811797009,497.05066737404354
2017-12-27,4,499.88,605.59375,511.05128769681585,509.68134757343535
2017-12-27,5,528.9100000000001,638.0859375,538.4226294165336,537.0996566332467
2017-12-27,6,554.65,671.5078125,568.5895783547026,567.4412475242068
2017-12-27,7,594.9,740.921875,630.7664864586259,629.9006948525241
2017-12-27,8,661.2,826.3125,688.6197992545907,688.0455557115476
2017-12-27,9,703.83,873.1484375,717.4546652379264,717.6502693208292
2017-12-27,10,733.35,904.015625,744.3536876274593,744.8836637965215
